
发现更新， lowest_score= 679 ,在第145个学校,北京大学,云南,2015,literature,diyipi
发现更新， lowest_score= 637 ,在第148个学校,北京大学,青海,2015,science,diyipi
发现更新， lowest_score= 642 ,在第149个学校,北京大学,宁夏,2015,literature,diyipi
发现更新， lowest_score= 621 ,在第153个学校,北京大学,江西,2015,literature,diyipi
发现更新， ,avg_score= 686 ,在第162个学校,北京大学,天津,2016,science,diyipi
发现更新， ,avg_score= 684 ,在第165个学校,北京大学,辽宁,2016,science,diyipi
发现更新， ,avg_score= 691 ,在第167个学校,北京大学,吉林,2016,science,diyipi
发现更新， ,avg_score= 684 ,在第170个学校,北京大学,黑龙江,2016,science,diyipi
发现更新， ,avg_score= 528 ,在第171个学校,北京大学,上海,2016,literature,diyipi
发现更新， ,avg_score= 529 ,在第172个学校,北京大学,上海,2016,science,diyipi
发现更新， ,avg_score= 412 ,在第173个学校,北京大学,江苏,2016,literature,diyipi
发现更新， ,avg_score= 418 ,在第175个学校,北京大学,江苏,2016,science,diyipi
发现更新， ,avg_score= 800 ,在第177个学校,北京大学,浙江,2016,literature,diyipi
发现更新， ,avg_score= 823 ,在第178个学校,北京大学,浙江,2016,science,diyipi
发现更新， ,avg_score= 676 ,在第181个学校,北京大学,安徽,2016,science,diyipi
发现更新， ,avg_score= 662 ,在第184个学校,北京大学,福建,2016,science,diyipi
发现更新， ,avg_score= 641 ,在第185个学校,北京大学,山东,2016,literature,diyipi
发现更新， ,avg_score= 698 ,在第186个学校,北京大学,山东,2016,science,diyipi
发现更新， ,avg_score= 690 ,在第189个学校,北京大学,湖北,2016,science,diyipi
发现更新， ,avg_score= 676 ,在第193个学校,北京大学,湖南,2016,science,diyipi
发现更新， ,avg_score= 675 ,在第197个学校,北京大学,广东,2016,science,diyipi
发现更新， ,avg_score= 697 ,在第200个学校,北京大学,重庆,2016,science,diyipi
发现更新， ,avg_score= 698 ,在第203个学校,北京大学,四川,2016,science,diyipi
发现更新， ,avg_score= 701 ,在第207个学校,北京大学,陕西,2016,science,diyipi
发现更新， ,avg_score= 667 ,在第209个学校,北京大学,甘肃,2016,science,diyipi
发现更新， ,avg_score= 707 ,在第212个学校,北京大学,河北,2016,science,diyipi
发现更新， ,avg_score= 667 ,在第216个学校,北京大学,山西,2016,science,diyipi
发现更新， ,avg_score= 673 ,在第218个学校,北京大学,内蒙古,2016,science,diyipi
发现更新， ,avg_score= 682 ,在第221个学校,北京大学,河南,2016,science,diyipi
发现更新， ,avg_score= 861 ,在第223个学校,北京大学,海南,2016,literature,diyipi
发现更新， ,avg_score= 853 ,在第224个学校,北京大学,海南,2016,science,diyipi
发现更新， ,avg_score= 652 ,在第225个学校,北京大学,广西,2016,literature,diyipi
发现更新， ,avg_score= 667 ,在第227个学校,北京大学,广西,2016,science,diyipi
发现更新， ,avg_score= 675 ,在第229个学校,北京大学,贵州,2016,literature,diyipi
发现更新， ,avg_score= 666 ,在第231个学校,北京大学,贵州,2016,science,diyipi
发现更新， ,avg_score= 688 ,在第234个学校,北京大学,云南,2016,science,diyipi
发现更新， ,avg_score= 599 ,在第240个学校,北京大学,青海,2016,literature,diyipi
发现更新， ,avg_score= 659 ,在第243个学校,北京大学,宁夏,2016,science,diyipi
发现更新， ,avg_score= 629 ,在第244个学校,北京大学,新疆,2016,literature,diyipi
发现更新， ,avg_score= 664 ,在第245个学校,北京大学,新疆,2016,science,diyipi
发现更新， ,avg_score= 673 ,在第248个学校,北京大学,江西,2016,science,diyipi
发现更新， lowest_score= 650 ,在第366个学校,中国人民大学,北京,2014,literature,diyipi
发现更新， lowest_score= 652 ,在第367个学校,中国人民大学,北京,2014,literature,tiqianpi
发现更新， lowest_score= 656 ,在第368个学校,中国人民大学,北京,2014,science,diyipi
发现更新， lowest_score= 674 ,在第369个学校,中国人民大学,北京,2014,science,tiqianpi
